name	description	comment
F435W_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F435W_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F435W_KRON_bkg	F435W_KRON_bkg [unit: nJy]	form=D
F435W_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F435W_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F435W_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F435W_KRON_S_bkg	F435W_KRON_S_bkg [unit: nJy]	form=D
F444W_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F444W_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F444W_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F444W_KRON_bkg	F444W_KRON_bkg [unit: nJy]	form=D
F444W_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F444W_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F444W_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F444W_KRON_S_bkg	F444W_KRON_S_bkg [unit: nJy]	form=D
F460M_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F460M_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F460M_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F460M_KRON_bkg	F460M_KRON_bkg [unit: nJy]	form=D
F460M_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F460M_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F460M_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F460M_KRON_S_bkg	F460M_KRON_S_bkg [unit: nJy]	form=D
F480M_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F480M_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F480M_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F480M_KRON_bkg	F480M_KRON_bkg [unit: nJy]	form=D
F480M_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F480M_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F480M_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F480M_KRON_S_bkg	F480M_KRON_S_bkg [unit: nJy]	form=D
F606W_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F606W_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F606W_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F606W_KRON_bkg	F606W_KRON_bkg [unit: nJy]	form=D
F606W_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F606W_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F606W_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F606W_KRON_S_bkg	F606W_KRON_S_bkg [unit: nJy]	form=D
F775W_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F775W_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F775W_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F775W_KRON_bkg	F775W_KRON_bkg [unit: nJy]	form=D
F775W_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F775W_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F775W_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F775W_KRON_S_bkg	F775W_KRON_S_bkg [unit: nJy]	form=D
F814W_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F814W_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F814W_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F814W_KRON_bkg	F814W_KRON_bkg [unit: nJy]	form=D
F814W_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F814W_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F814W_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F814W_KRON_S_bkg	F814W_KRON_S_bkg [unit: nJy]	form=D
F850LP_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F850LP_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F850LP_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F850LP_KRON_bkg	F850LP_KRON_bkg [unit: nJy]	form=D
F850LP_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F850LP_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F850LP_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F850LP_KRON_S_bkg	F850LP_KRON_S_bkg [unit: nJy]	form=D
