name	description	comment
F2550W_CIRC5_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F2550W_CIRC6	Aperture-corrected flux for filter {BAND} within r = 0.50'' circular aperture [unit: nJy]	form=E
F2550W_CIRC6_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F2550W_CIRC6_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F560W_CIRC0_BSUB	Aperture-corrected, background-subtracted flux for filter {BAND} within a circular aperture enclosing 80% of the PSF energy [unit: nJy]	form=E
F560W_CIRC0_bkg_BSUB	Background subtraction value for {BAND}_CIRC0_BSUB [unit: nJy]	form=D
F560W_CIRC0_e_BSUB	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F560W_CIRC0_ei_BSUB	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F560W_CIRC1_BSUB	Aperture-corrected, background-subtracted flux for filter {BAND} within r = 0.10'' circular aperture [unit: nJy]	form=E
F560W_CIRC1_bkg_BSUB	Background subtraction value for {BAND}_CIRC1_BSUB [unit: nJy]	form=D
F560W_CIRC1_e_BSUB	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F560W_CIRC1_ei_BSUB	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F560W_CIRC2_BSUB	Aperture-corrected, background-subtracted flux for filter {BAND} within r = 0.15'' circular aperture [unit: nJy]	form=E
F560W_CIRC2_bkg_BSUB	Background subtraction value for {BAND}_CIRC2_BSUB [unit: nJy]	form=D
F560W_CIRC2_e_BSUB	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F560W_CIRC2_ei_BSUB	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F560W_CIRC3_BSUB	Aperture-corrected, background-subtracted flux for filter {BAND} within r = 0.25'' circular aperture [unit: nJy]	form=E
F560W_CIRC3_bkg_BSUB	Background subtraction value for {BAND}_CIRC3_BSUB [unit: nJy]	form=D
F560W_CIRC3_e_BSUB	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F560W_CIRC3_ei_BSUB	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F560W_CIRC4_BSUB	Aperture-corrected, background-subtracted flux for filter {BAND} within r = 0.30'' circular aperture [unit: nJy]	form=E
F560W_CIRC4_bkg_BSUB	Background subtraction value for {BAND}_CIRC4_BSUB [unit: nJy]	form=D
F560W_CIRC4_e_BSUB	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F560W_CIRC4_ei_BSUB	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F560W_CIRC5_BSUB	Aperture-corrected, background-subtracted flux for filter {BAND} within r = 0.35'' circular aperture [unit: nJy]	form=E
F560W_CIRC5_bkg_BSUB	Background subtraction value for {BAND}_CIRC5_BSUB [unit: nJy]	form=D
F560W_CIRC5_e_BSUB	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F560W_CIRC5_ei_BSUB	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F560W_CIRC6_BSUB	Aperture-corrected, background-subtracted flux for filter {BAND} within r = 0.50'' circular aperture [unit: nJy]	form=E
F560W_CIRC6_bkg_BSUB	Background subtraction value for {BAND}_CIRC6_BSUB [unit: nJy]	form=D
F560W_CIRC6_e_BSUB	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F560W_CIRC6_ei_BSUB	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F770W_CIRC0_BSUB	Aperture-corrected, background-subtracted flux for filter {BAND} within a circular aperture enclosing 80% of the PSF energy [unit: nJy]	form=E
F770W_CIRC0_bkg_BSUB	Background subtraction value for {BAND}_CIRC0_BSUB [unit: nJy]	form=D
F770W_CIRC0_e_BSUB	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F770W_CIRC0_ei_BSUB	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F770W_CIRC1_BSUB	Aperture-corrected, background-subtracted flux for filter {BAND} within r = 0.10'' circular aperture [unit: nJy]	form=E
F770W_CIRC1_bkg_BSUB	Background subtraction value for {BAND}_CIRC1_BSUB [unit: nJy]	form=D
F770W_CIRC1_e_BSUB	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F770W_CIRC1_ei_BSUB	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F770W_CIRC2_BSUB	Aperture-corrected, background-subtracted flux for filter {BAND} within r = 0.15'' circular aperture [unit: nJy]	form=E
F770W_CIRC2_bkg_BSUB	Background subtraction value for {BAND}_CIRC2_BSUB [unit: nJy]	form=D
F770W_CIRC2_e_BSUB	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F770W_CIRC2_ei_BSUB	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F770W_CIRC3_BSUB	Aperture-corrected, background-subtracted flux for filter {BAND} within r = 0.25'' circular aperture [unit: nJy]	form=E
F770W_CIRC3_bkg_BSUB	Background subtraction value for {BAND}_CIRC3_BSUB [unit: nJy]	form=D
F770W_CIRC3_e_BSUB	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F770W_CIRC3_ei_BSUB	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F770W_CIRC4_BSUB	Aperture-corrected, background-subtracted flux for filter {BAND} within r = 0.30'' circular aperture [unit: nJy]	form=E
F770W_CIRC4_bkg_BSUB	Background subtraction value for {BAND}_CIRC4_BSUB [unit: nJy]	form=D
F770W_CIRC4_e_BSUB	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F770W_CIRC4_ei_BSUB	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F770W_CIRC5_BSUB	Aperture-corrected, background-subtracted flux for filter {BAND} within r = 0.35'' circular aperture [unit: nJy]	form=E
F770W_CIRC5_bkg_BSUB	Background subtraction value for {BAND}_CIRC5_BSUB [unit: nJy]	form=D
F770W_CIRC5_e_BSUB	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F770W_CIRC5_ei_BSUB	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F770W_CIRC6_BSUB	Aperture-corrected, background-subtracted flux for filter {BAND} within r = 0.50'' circular aperture [unit: nJy]	form=E
F770W_CIRC6_bkg_BSUB	Background subtraction value for {BAND}_CIRC6_BSUB [unit: nJy]	form=D
F770W_CIRC6_e_BSUB	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F770W_CIRC6_ei_BSUB	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1000W_CIRC0_BSUB	Aperture-corrected, background-subtracted flux for filter {BAND} within a circular aperture enclosing 80% of the PSF energy [unit: nJy]	form=E
F1000W_CIRC0_bkg_BSUB	Background subtraction value for {BAND}_CIRC0_BSUB [unit: nJy]	form=D
F1000W_CIRC0_e_BSUB	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1000W_CIRC0_ei_BSUB	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1000W_CIRC1_BSUB	Aperture-corrected, background-subtracted flux for filter {BAND} within r = 0.10'' circular aperture [unit: nJy]	form=E
F1000W_CIRC1_bkg_BSUB	Background subtraction value for {BAND}_CIRC1_BSUB [unit: nJy]	form=D
F1000W_CIRC1_e_BSUB	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1000W_CIRC1_ei_BSUB	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1000W_CIRC2_BSUB	Aperture-corrected, background-subtracted flux for filter {BAND} within r = 0.15'' circular aperture [unit: nJy]	form=E
F1000W_CIRC2_bkg_BSUB	Background subtraction value for {BAND}_CIRC2_BSUB [unit: nJy]	form=D
F1000W_CIRC2_e_BSUB	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
